DOB,Sex,AnimalID,BehMom,Sire,Dam
1/1/54,f,DD00001,NA,NA,NA
1/1/55,f,DD00002,NA,NA,NA
1/1/55,m,DD00003,NA,NA,NA
1/1/55,m,DD00004,NA,NA,NA
1/1/55,f,DD00005,NA,NA,NA
1/1/55,m,DD00006,NA,NA,NA
1/1/55,m,DD00007,NA,NA,NA
2/16/92,m,DD00008,DD05364,DD07091,DD05364
1/12/93,f,DD00009,DD06677,DD07092,DD06677
12/25/93,m,DD00010,DD11476,DD11503,DD11476
1/20/95,m,DD00011,DD11710,DD09790,DD11710
2/23/95,m,DD00012,DD12000,DD11081,NA
2/20/96,f,DD00013,DD11591,DD11503,DD11591
12/30/96,m,DD00014,DD03046,DD06709,DD03046
2/13/97,m,DD00015,DD09274,DD09265,DD09274
1/16/98,m,DD00016,DD11868,DD12333,NA
4/13/98,f,DD00017,DD10085,DD11754,DD10085
12/15/98,m,DD00018,DD11868,DD05163,DD11868
2/1/99,m,DD00019,DD11691,DD00248,DD11691
1/20/00,f,DD00020,DD05256,DD02897,DD05256
12/1/99,f,DD00021,DD05166,DD03018,DD05166
12/20/00,f,DD00022,DD03486,DD01087,DD03486
3/15/02,f,DD00023,DD00652,DD00632,DD00652
2011-07-01,m,DD00024,DD01854,DD00731,DD01854
2012-12-02,f,DD00025,DD01674,DD01245,DD01674
12/14/03,f,DD00026,DD01680,DD02866,DD01680
2011-05-03,m,DD00027,DD12118,DD01883,DD12118
1/1/55,f,DD00028,NA,NA,NA
1/1/51,f,DD00029,NA,NA,NA
1/1/51,f,DD00030,NA,NA,NA
1/1/55,m,DD00031,NA,NA,NA
1/1/55,m,DD00032,DD00597,NA,NA
1/1/55,f,DD00033,NA,NA,NA
1/1/55,m,DD00034,NA,NA,NA
1/1/53,m,DD00035,NA,NA,NA
1/1/56,f,DD00036,NA,NA,NA
1/1/55,m,DD00037,NA,NA,NA
3/6/92,m,DD00038,DD06140,NA,NA
6/15/93,f,DD00039,DD09366,DD05829,DD09366
12/24/93,m,DD00040,DD11757,DD06556,DD11757
2/28/95,m,DD00041,DD06561,DD11159,DD06561
12/26/94,m,DD00042,DD12178,DD11081,DD12178
3/25/96,m,DD00043,DD09571,DD11023,DD09571
1/15/97,m,DD00044,DD11973,DD11023,DD11973
1/6/97,f,DD00045,DD12144,DD11736,DD12144
2/19/98,m,DD00046,DD00653,DD11168,DD00653
1/11/98,f,DD00047,DD11478,DD12181,DD11478
1/28/99,m,DD00048,DD04696,DD11740,DD04696
3/4/99,m,DD00049,DD11074,NA,DD11074
3/5/00,f,DD00050,DD12004,DD02866,DD12004
12/7/99,f,DD00051,DD10945,DD02866,DD10945
3/20/01,f,DD00052,DD01118,DD04270,DD01118
2011-06-01,f,DD00053,DD12151,DD12166,DD12151
11/24/01,m,DD00054,DD02253,NA,DD02253
11/20/02,f,DD00055,DD11999,DD11702,DD11999
12/20/03,m,DD00056,DD10897,DD02866,DD10897
10/25/03,m,DD00057,DD02968,DD11023,DD02968
1/1/51,f,DD00058,NA,NA,NA
1/1/55,f,DD00059,NA,NA,NA
1/1/54,f,DD00060,NA,NA,NA
1/1/56,f,DD00061,NA,NA,NA
1/1/55,f,DD00062,NA,NA,NA
1/1/55,m,DD00063,NA,NA,NA
1/1/53,m,DD00064,NA,NA,NA
1/1/55,m,DD00065,NA,NA,NA
1/1/55,f,DD00066,NA,NA,NA
1/1/55,f,DD00067,NA,NA,NA
1/10/92,f,DD00068,DD06946,DD06608,DD06946
2/28/93,m,DD00069,DD10953,NA,NA
1/17/94,m,DD00070,DD06572,DD11353,DD06572
12/1/94,m,DD00071,DD06578,DD04026,DD06578
12/10/94,m,DD00072,DD11332,DD11078,DD11332
2/28/96,m,DD00073,DD10085,DD11503,DD10085
2/3/97,f,DD00074,DD03568,DD11168,DD03568
12/29/96,m,DD00075,DD01327,DD09790,DD01327
12/14/97,m,DD00076,DD11474,DD11670,DD11474
4/22/98,m,DD00077,DD04239,DD12181,DD04239
2/11/99,f,DD00078,DD12151,DD11128,DD12151
1/27/99,m,DD00079,DD12033,DD06608,DD12033
12/17/99,m,DD00080,DD12266,DD05831,DD12266
3/2/00,m,DD00081,DD03111,DD06737,DD03111
1/21/01,m,DD00082,DD10953,DD12019,DD10953
11/14/01,m,DD00083,DD00695,DD11819,DD00695
1/24/02,m,DD00084,DD11457,DD12024,DD11457
2001-01-03,f,DD00085,DD11331,DD12328,DD11331
12/17/03,f,DD00086,DD03539,DD03573,DD03539
2012-07-03,m,DD00087,DD11603,DD11734,DD11603
1/1/55,f,DD00088,NA,NA,NA
1/1/55,f,DD00089,NA,NA,NA
1/1/55,m,DD00090,NA,NA,NA
1/1/53,f,DD00091,NA,NA,NA
1/1/51,f,DD00092,NA,NA,NA
1/1/55,f,DD00093,NA,NA,NA
1/1/55,m,DD00094,NA,NA,NA
1/1/55,f,DD00095,NA,NA,NA
1/1/54,f,DD00096,NA,NA,NA
1/1/55,m,DD00097,NA,NA,NA
2/5/92,m,DD00098,DD06190,NA,NA
1/3/93,f,DD00099,DD06818,NA,DD06818
1/14/94,m,DD00100,DD06561,DD10872,DD06561
11/21/94,m,DD00101,DD07067,DD06549,DD07067
1/18/95,f,DD00102,DD06818,DD11860,DD06818
2/12/96,m,DD00103,DD12177,DD10989,DD12177
4/4/97,m,DD00104,DD11599,DD11598,DD11599
12/5/96,f,DD00105,DD10927,DD10872,DD10927
1/9/98,f,DD00106,DD11602,DD11823,DD11602
12/22/97,f,DD00107,DD11491,DD12019,DD11491
11/24/98,m,DD00108,DD00772,DD01298,DD00772
12/20/98,f,DD00109,DD00751,DD12251,DD00751
11/26/99,m,DD00110,DD04853,DD11598,DD04853
2/25/00,m,DD00111,DD06195,NA,NA
12/14/00,f,DD00112,DD12258,DD04731,DD12258
2011-08-01,m,DD00113,DD11868,DD00655,DD11868
1/31/02,f,DD00114,DD06561,DD11823,DD06561
2012-03-02,m,DD00115,DD11455,DD01181,DD11455
2012-04-03,m,DD00116,DD04038,DD00221,DD04038
1/13/04,f,DD00117,DD04611,DD04274,DD04611
1/1/55,f,DD00118,NA,NA,NA
1/1/56,f,DD00119,NA,NA,NA
1/1/56,m,DD00120,NA,NA,NA
1/1/55,m,DD00121,NA,NA,NA
1/1/55,f,DD00122,NA,NA,NA
1/1/56,m,DD00123,NA,NA,NA
1/1/53,f,DD00124,NA,NA,NA
1/1/51,m,DD00125,NA,NA,NA
1/1/51,f,DD00126,NA,NA,NA
1/1/54,f,DD00127,NA,NA,NA
3/10/92,f,DD00128,DD11478,DD04111,DD11478
2/10/93,m,DD00129,DD06370,NA,NA
12/20/93,f,DD00130,DD11711,DD11168,DD11711
1/9/95,f,DD00131,DD09274,DD05837,DD09274
1/3/95,f,DD00132,DD11509,DD10875,DD11509
11/6/95,m,DD00133,DD06919,DD06709,DD06919
4/7/97,f,DD00134,DD11937,DD11734,DD00751
12/15/96,f,DD00135,DD11999,DD11857,DD11999
12/9/97,m,DD00136,DD02986,DD06764,DD02374
