All,Year,Sex,Age,Sample,Savg,Lavg,Mavg,Sfa,Lfa,Mfa,Lratio,Sratio,Cayo,TOD
All,2019,M,3,18,91.93457031,422.2596537,303.1331075,0.112481948,0.516634691,0.370883361,1.392984281,0.126737645,DD02199,8:05:00
All,2018,F,4,840,30.77153269,122.609965,85.67759959,0.128719355,0.512885585,0.35839506,1.431062093,0.147735814,DD05081,8:35:00
All,2019,F,13,44,113.0282491,503.979777,387.297526,0.112543686,0.501819168,0.385637145,1.301272906,0.12681603,DD01393,8:35:00
All,2018,M,9,930,60.9224294,197.1751963,185.1346588,0.137450343,0.444857478,0.417692179,1.065036647,0.159353542,DD03228,8:49:00
All,2018,M,4,740,19.32185046,56.59725444,39.27346802,0.16773521,0.491327288,0.340937502,1.441106612,0.201540678,DD01006,8:56:00
All,2019,M,4,27,251.1697489,706.8771566,929.3294474,0.133078783,0.374528989,0.492392228,0.760631398,0.153507355,DD01018,9:02:00
All,2018,F,8,890,24.58577919,116.559789,112.8680979,0.096789199,0.458872118,0.444338683,1.032708012,0.107161251,DD04994,9:03:00
All,2018,F,9,955,38.00062815,189.5131022,152.7327143,0.09993684,0.498395461,0.401667699,1.240815388,0.111033141,DD05548,9:08:00
All,2019,M,-1,58,61.00006358,155.7435048,237.2546183,0.13436191,0.343048738,0.522589352,0.656440351,0.155217188,DD08739,9:13:00
All,2018,M,12,815,96.95096588,330.1413879,377.7378133,0.120461397,0.410200066,0.469338537,0.873996133,0.136959761,DD02010,9:17:00
All,2019,F,3,45,158.63355,501.5734762,372.9633484,0.153540552,0.485470246,0.360989201,1.344833154,0.181391504,DD02781,9:24:00
All,2018,F,4,805,35.1413943,114.8727951,145.3769531,0.118965633,0.388883682,0.492150685,0.790171981,0.135029503,DD01591,9:26:00
All,2018,F,4,945,17.67650445,61.94255829,96.91108195,0.100133065,0.35088941,0.548977525,0.639168989,0.111275413,DD04495,9:34:00
All,2018,M,9,665,52.91,238.70333,240.16333,0.0995,0.44888,0.45162,0.99392,0.11049417,DD00900,9:34:00
All,2019,M,-1,129,204.1086884,573.6913249,430.1765442,0.168967425,0.474919253,0.356113322,1.333618331,0.203322264,DD08833,9:40:00
All,2018,F,17,770,83.26476542,403.2546997,436.0432332,0.090253774,0.437102758,0.472643468,0.924804398,0.099207638,DD03434,9:41:00
All,2019,M,3,28,117.9355825,294.9497986,226.8896586,0.184339143,0.461021109,0.354639748,1.299970216,0.225999742,DD03356,9:44:00
All,2018,F,5,700,81.7710317,381.42453,212.4047648,0.121034624,0.564571264,0.314394112,1.795743755,0.137701242,DD02722,9:53:00
All,2019,M,5,114,108.1736323,421.4989726,430.5680542,0.112652626,0.438951391,0.448395983,0.978936938,0.126954369,DD00470,10:00:00
